state_code,city,lat,lon,price_per_gallon,name,address,opis_id
MI,Casco,41.838383,-85.850801,4.099,FRED MOORE BP,"I-94, EXIT 257",65086
MI,Champion,44.544265,-82.656683,3.819,Circle K #2746528,US-41/SR-28 & SR-95,65088
MI,Dearborn,43.485442,-85.568448,3.599,WYOMING FUEL PLAZA,"I-94, EXIT 210A",65091
MI,Dearborn,43.485442,-85.568448,3.659,BP,"I-94 & US-12, EXIT 210",65092
MI,Gaylord,43.167794,-83.044919,3.814,MARATHON,"I-75 & SR-32, EXIT 282",65094
MI,Newberry,43.014853,-86.468448,3.699,PICKLEMANS ONE STOP-ZEPHYR,ST 28,65108
MI,Reed City,42.214853,-83.486095,3.549,NORTHWIND TRAVEL CENTER,"US-131, EXIT 153 & US-10",65113
MI,Belleville,42.861912,-85.215507,4.199,BP TRAVEL CENTER AND TRUCK PLAZA,"I-275, EXIT 20",65121
MI,Wyoming,44.261912,-83.821389,3.674,PITSTOP MOBIL MART,"I-196, EXIT 72",65127
MN,Alexandria,47.065042,-93.114898,3.499,HOLIDAY STATIONSTORE #2746345,"I-94, EXIT 103/US-52 & SR-29",65129
MN,Bemidji,45.665042,-95.603133,3.4157,PETES PLACE SOUTH,US-71 & US-2,65132
MN,Clara City,45.017983,-95.903133,3.3323,CIRCLE K #3819,SR-7,65135
MN,Duluth,46.029748,-94.72078,3.499,HOLIDAY STATIONSTORE #2746422,"I-35, EXIT 253B",65136
MN,Kasson,45.170925,-95.391368,3.549,KWIK TRIP #619,US-14 & ST-57,65141
MN,Circle Pines,44.912101,-94.509016,3.549,HOLIDAY STATIONSTORE #2746376,"I-35W, EXIT 36 & CR-23",65142
MN,Waite Park,45.170925,-92.726663,3.459,7Fleet #46516,"I-75, EXIT 164",65153
MO,Saint Louis,38.627,-90.1994,2.904,Petro Mart #15,I-270 EXIT 33,65162
MO,Jackson,32.2988,-90.1848,3.299,AMERIMART # 11,US-61,65165
MO,Mansfield,39.34432,-93.250133,3.0257,SIGNAL FOOD STORE #110,US-60 & SR-5,65171
MO,Republic,39.226673,-92.897192,3.079,KUM & GO #0497,US-60/SR-413 & CR-M,65177
MO,Ridgedale,37.850203,-94.273662,3.199,WILD BILLS TRAVEL CENTER,US-65 & SR-14,65178
MO,Savannah,38.450203,-93.973662,2.999,TREX MART #11,"I-29, EXIT 65 & US-59",65180
MS,Byhalia,31.806352,-90.481637,2.9723,GAS MART,"US-78, EXIT 14 & SR-309",65188
MS,Collins,31.653411,-87.869872,3.879,CIRCLE K #2723396,US-49,65192
MS,Columbia,34.0007,-81.0348,3.3323,CIRCLE K #2723401,US-98 BYP/SR-44 & SR-13,65194
MS,Ellisville,33.30047,-90.375755,3.059,SINGH PETRO,US-11,65197
MS,Florence,31.818117,-90.88752,2.8957,CIRCLE K #2723437,US-49,65198
MS,Mathiston,32.065175,-87.905167,3.3657,SHELL GAS MART,US-82,65204
MS,New Augusta,33.806352,-87.675755,3.3157,Taters #2,US-98 & SR-29,65212
